       Q,      F(Q)_RMC,  F(Q)_Expt
      4.8750170 ,      -1.0096326 ,      -1.0745791
      4.8850170 ,      -0.9932328 ,      -1.0613709
      4.8950170 ,      -0.9776644 ,      -1.0475444
      4.9050170 ,      -0.9637431 ,      -1.0335608
      4.9150180 ,      -0.9521474 ,      -1.0198611
      4.9250180 ,      -0.9433974 ,      -1.0068606
      4.9350180 ,      -0.9378262 ,      -0.9949241
      4.9450180 ,      -0.9355659 ,      -0.9843498
      4.9550190 ,      -0.9365322 ,      -0.9753405
      4.9650190 ,      -0.9404129 ,      -0.9679755
      4.9750190 ,      -0.9466617 ,      -0.9621736
      4.9850190 ,      -0.9544974 ,      -0.9576640
      4.9950190 ,      -0.9629090 ,      -0.9539582
      5.0050200 ,      -0.9706687 ,      -0.9503281
      5.0150200 ,      -0.9763504 ,      -0.9457981
      5.0250200 ,      -0.9783647 ,      -0.9391453
      5.0350200 ,      -0.9749970 ,      -0.9289213
      5.0450210 ,      -0.9644580 ,      -0.9134856
      5.0550210 ,      -0.9449502 ,      -0.8910680
      5.0650210 ,      -0.9147328 ,      -0.8598306
      5.0750210 ,      -0.8722022 ,      -0.8179608
      5.0850210 ,      -0.8159742 ,      -0.7637679
      5.0950220 ,      -0.7449595 ,      -0.6957812
      5.1050220 ,      -0.6584739 ,      -0.6128855
      5.1150220 ,      -0.5562695 ,      -0.5143817
      5.1250220 ,      -0.4386221 ,      -0.4001033
      5.1350230 ,      -0.3063562 ,      -0.2704684
      5.1450230 ,      -0.1609226 ,      -0.1265820
      5.1550230 ,      -0.0043189 ,       0.0298231
      5.1650230 ,       0.1608865 ,       0.1963488
      5.1750240 ,       0.3316384 ,       0.3700091
      5.1850240 ,       0.5044094 ,       0.5472419
      5.1950240 ,       0.6754103 ,       0.7241282
      5.2050240 ,       0.8406532 ,       0.8964657
      5.2150240 ,       0.9961157 ,       1.0599508
      5.2250250 ,       1.1379139 ,       1.2103727
      5.2350250 ,       1.2624089 ,       1.3437396
      5.2450250 ,       1.3664512 ,       1.4565517
      5.2550250 ,       1.4474674 ,       1.5459060
      5.2650260 ,       1.5036042 ,       1.6096623
      5.2750260 ,       1.5338056 ,       1.6465318
      5.2850260 ,       1.5379082 ,       1.6561891
      5.2950260 ,       1.5166402 ,       1.6392719
      5.3050270 ,       1.4716035 ,       1.5973654
      5.3150270 ,       1.4052342 ,       1.5329551
      5.3250270 ,       1.3206738 ,       1.4492905
      5.3350270 ,       1.2216481 ,       1.3502479
      5.3450270 ,       1.1122957 ,       1.2401435
      5.3550280 ,       0.9969674 ,       1.1235149
      5.3650280 ,       0.8800703 ,       1.0049482
      5.3750280 ,       0.7657932 ,       0.8887870
      5.3850280 ,       0.6579569 ,       0.7789704
      5.3950290 ,       0.5598164 ,       0.6788253
      5.4050290 ,       0.4739508 ,       0.5909527
      5.4150290 ,       0.4020927 ,       0.5170557
      5.4250290 ,       0.3450998 ,       0.4579166
      5.4350300 ,       0.3029200 ,       0.4133709
      5.4450300 ,       0.2746335 ,       0.3823626
      5.4550300 ,       0.2585013 ,       0.3630062
      5.4650300 ,       0.2521006 ,       0.3527399
      5.4750300 ,       0.2524722 ,       0.3484888
      5.4850310 ,       0.2563025 ,       0.3468616
