r (Ang), PDF (RMC), PDF (Expt)
   1.8400000000000001       ,  -0.41656960268775634       ,  -0.42874800000000002     
   1.8600000000000001       ,  -0.41778466209542048       ,  -0.43378699999999998     
   1.8800000000000001       ,  -0.41694623122742897       ,  -0.41255199999999997     
   1.9000000000000001       ,  -0.41079546531148547       ,  -0.36878100000000003     
   1.9199999999999999       ,  -0.22850403690561619       ,  -0.31147999999999998     
   1.9399999999999999       ,    5.5833505969747795E-002  ,  -0.25018299999999999     
   1.9600000000000000       ,   0.24725059697413371       ,  -0.19060600000000000     
   1.9800000000000000       ,   0.40526215941123889       ,  -0.13321100000000000     
   2.0000000000000000       ,   0.50530019290013417       ,   -7.5413999999999995E-002
   2.0200000000000000       ,   0.57861707829667974       ,   -1.5817399999999999E-002
   2.0400000000000000       ,   0.57897959371917485       ,    4.2376499999999998E-002
   2.0600000000000001       ,   0.53319002312754238       ,    9.1156799999999996E-002
   2.0800000000000001       ,   0.44767030166155347       ,   0.12098000000000000     
   2.1000000000000001       ,   0.29731955805680166       ,   0.12559600000000001     
   2.1200000000000001       ,    9.5915842520641628E-002  ,   0.10545400000000001     
   2.1400000000000001       ,   -3.1715312426748944E-002  ,    6.7581600000000006E-002
   2.1600000000000001       ,   -6.9367911349608805E-002  ,    2.2085299999999999E-002
   2.1800000000000002       ,  -0.13792252819006601       ,   -2.2539199999999999E-002
   2.2000000000000002       ,  -0.16955007962044114       ,   -6.2361800000000002E-002
   2.2200000000000002       ,  -0.19867124803821459       ,   -9.7632499999999997E-002
   2.2400000000000002       ,  -0.24270995991909214       ,  -0.12960199999999999     
   2.2600000000000002       ,  -0.25054207075486445       ,  -0.15691700000000000     
   2.2800000000000002       ,  -0.27663033110699092       ,  -0.17417700000000000     
   2.3000000000000003       ,  -0.24867353780615159       ,  -0.17367199999999999     
   2.3199999999999998       ,  -0.21941579329573216       ,  -0.14921300000000001     
   2.3399999999999999       ,  -0.17788408307971251       ,   -9.9595299999999998E-002
   2.3599999999999999       ,  -0.10196785304183431       ,   -2.9523000000000001E-002
   2.3799999999999999       ,   -3.3937987640776504E-002  ,    5.2425399999999997E-002
   2.3999999999999999       ,    5.7588872364163650E-002  ,   0.13733899999999999     
   2.4199999999999999       ,   0.14545691589677073       ,   0.21871399999999999     
   2.4399999999999999       ,   0.19586067200242704       ,   0.29289799999999999     
   2.4600000000000000       ,   0.26188904633152477       ,   0.35747000000000001     
   2.4800000000000000       ,   0.32665573272570936       ,   0.40933900000000001     
   2.5000000000000000       ,   0.36912452637714377       ,   0.44440400000000002     
   2.5200000000000000       ,   0.37192381423099713       ,   0.45934199999999997     
   2.5400000000000000       ,   0.39913799452067061       ,   0.45431700000000003     
   2.5600000000000001       ,   0.36232863311644031       ,   0.43439000000000000     
   2.5800000000000001       ,   0.36026428749701528       ,   0.40809299999999998     
   2.6000000000000001       ,   0.32972666922837646       ,   0.38352199999999997     
   2.6200000000000001       ,   0.31766405465145570       ,   0.36413600000000002     
   2.6400000000000001       ,   0.31704278374810863       ,   0.34702699999999997     
   2.6600000000000001       ,   0.28669738736482531       ,   0.32509199999999999     
   2.6800000000000002       ,   0.27764221528870525       ,   0.29210000000000003     
   2.7000000000000002       ,   0.23334002328007314       ,   0.24775300000000000     
   2.7200000000000002       ,   0.19885669236898079       ,   0.19950999999999999     
   2.7400000000000002       ,   0.15607243711203456       ,   0.15980600000000000     
   2.7600000000000002       ,   0.14152716150589126       ,   0.13997499999999999     
   2.7800000000000002       ,   0.16493020479140202       ,   0.14425299999999999     
   2.8000000000000003       ,   0.17663481219309266       ,   0.16730500000000001     
   2.8199999999999998       ,   0.19458890244036506       ,   0.19676700000000000     
   2.8399999999999999       ,   0.22558808597544000       ,   0.21940999999999999     
   2.8599999999999999       ,   0.22704301490032511       ,   0.22752200000000000     
   2.8799999999999999       ,   0.22840317463086485       ,   0.22207099999999999     
   2.8999999999999999       ,   0.22076895039865607       ,   0.21110100000000001     
   2.9199999999999999       ,   0.21015846847837555       ,   0.20452699999999999     
   2.9399999999999999       ,   0.20743141854710989       ,   0.20840500000000001     
   2.9600000000000000       ,   0.20131431683858672       ,   0.22179699999999999     
   2.9800000000000000       ,   0.21913867891732910       ,   0.23768300000000001     
   3.0000000000000000       ,   0.23662107438200913       ,   0.24703600000000001     
   3.0200000000000000       ,   0.22186076265391913       ,   0.24351900000000001     
   3.0400000000000000       ,   0.18936784716229854       ,   0.22622700000000001     
   3.0600000000000001       ,   0.16443632360582461       ,   0.19922999999999999     
   3.0800000000000001       ,   0.10505688278955738       ,   0.16860300000000000     
   3.1000000000000001       ,   0.12416212417298307       ,   0.13887500000000000     
   3.1200000000000001       ,    7.3698570852253315E-002  ,   0.11093300000000000     
   3.1400000000000001       ,    2.7895139336033971E-002  ,    8.2298200000000002E-002
   3.1600000000000001       ,   -8.7694215329634090E-003  ,    4.9299599999999999E-002
   3.1800000000000002       ,   -2.7552212014351384E-002  ,    9.6598299999999995E-003
   3.2000000000000002       ,   -7.5278495347869706E-002  ,   -3.5988800000000001E-002
   3.2200000000000002       ,  -0.13839093785416504       ,   -8.4371600000000005E-002
   3.2400000000000002       ,  -0.15504038144512824       ,  -0.13126800000000000     
   3.2600000000000002       ,  -0.20371042683862031       ,  -0.17355799999999999     
   3.2800000000000002       ,  -0.23774838878157134       ,  -0.21049499999999999     
   3.3000000000000003       ,  -0.28707988500821102       ,  -0.24361900000000000     
   3.3200000000000003       ,  -0.31717179241469606       ,  -0.27548200000000000     
   3.3399999999999999       ,  -0.32688110674639520       ,  -0.30792300000000000     
   3.3599999999999999       ,  -0.36730332774090108       ,  -0.34073300000000001     
   3.3799999999999999       ,  -0.39697610435433267       ,  -0.37128299999999997     
   3.3999999999999999       ,  -0.41848735836598827       ,  -0.39520899999999998     
   3.4199999999999999       ,  -0.42117101422967368       ,  -0.40780400000000000     
   3.4399999999999999       ,  -0.41982520865982370       ,  -0.40556799999999998     
   3.4600000000000000       ,  -0.39801213856243700       ,  -0.38738499999999998     
   3.4800000000000000       ,  -0.37497282720330766       ,  -0.35497499999999998     
   3.5000000000000000       ,  -0.33676657680941047       ,  -0.31254300000000002     
   3.5200000000000000       ,  -0.27111749653272516       ,  -0.26575399999999999     
   3.5400000000000000       ,  -0.22642950527411942       ,  -0.22038600000000000     
   3.5600000000000001       ,  -0.18641611960593182       ,  -0.18106000000000000     
   3.5800000000000001       ,  -0.15547027588262385       ,  -0.15043200000000001     
   3.6000000000000001       ,  -0.14379147719762600       ,  -0.12912699999999999     
   3.6200000000000001       ,  -0.12983695471823856       ,  -0.11635400000000000     
   3.6400000000000001       ,  -0.11992537909447608       ,  -0.11092600000000000     
   3.6600000000000001       ,  -0.12458038719983247       ,  -0.11217400000000000     
   3.6800000000000002       ,  -0.12472135485067243       ,  -0.12024100000000000     
   3.7000000000000002       ,  -0.15935066812272478       ,  -0.13554900000000000     
